Rank	Gene.ID	AUC value	Avg. Diff.1	Power2	Pct.13	Pct.24	p.value	Cluster.ID	Associated.Cell.Population	Surface Marker5
1	CLEC9A	0.99	5.49	0.97	0.976	0.056	4.00E-173	DC1	CD141/CLEC9A	1
2	C1ORF54	0.98	4.26	0.97	0.976	0.076	2.16E-157	DC1	CD141/CLEC9A	0
3	HLA-DPA1	0.98	1.24	0.95	1	0.998	6.92E-125	DC1	CD141/CLEC9A	1
4	CADM1	0.97	5.29	0.95	0.952	0.042	5.77E-150	DC1	CD141/CLEC9A	1
5	CAMK2D	0.96	2.73	0.93	0.982	0.255	1.23E-126	DC1	CD141/CLEC9A	1
6	CPVL	0.96	2	0.92	0.994	0.778	1.66E-111	DC1	CD141/CLEC9A	1
7	HLA-DPB2	0.96	1.26	0.91	1	0.997	8.30E-108	DC1	CD141/CLEC9A	1
8	WDFY4	0.96	1.92	0.91	1	0.7	9.42E-117	DC1	CD141/CLEC9A	1
9	CPNE3	0.95	1.9	0.91	1	0.556	1.96E-115	DC1	CD141/CLEC9A	0
10	IDO1	0.95	4.78	0.91	0.958	0.462	1.68E-189	DC1	CD141/CLEC9A	0
11	HLA-DPB1	0.94	1.29	0.88	1	0.932	6.19E-87	DC1	CD141/CLEC9A	1
12	LOC645638	0.94	3.08	0.88	0.922	0.106	3.60E-109	DC1	CD141/CLEC9A	0
13	HLA-DOB	0.94	2.46	0.88	0.976	0.49	2.59E-94	DC1	CD141/CLEC9A	1
14	HLA-DQB1	0.93	1.4	0.86	1	0.906	1.91E-131	DC1	CD141/CLEC9A	1
15	HLA-DQB	0.93	1.24	0.86	1	0.908	3.92E-126	DC1	CD141/CLEC9A	1
16	CLNK	0.92	3.46	0.84	0.952	0.46	2.42E-133	DC1	CD141/CLEC9A	0
17	CSRP1	0.91	1.81	0.81	0.976	0.425	2.47E-78	DC1	CD141/CLEC9A	0
18	SNX3	0.91	1.54	0.81	0.994	0.587	7.22E-80	DC1	CD141/CLEC9A	0
19	ZNF366	0.9	2.7	0.8	0.867	0.108	2.43E-83	DC1	CD141/CLEC9A	0
20	KIAA1598	0.89	1.5	0.78	0.994	0.644	4.21E-80	DC1	CD141/CLEC9A	0
21	NDRG2	0.89	1.48	0.78	0.988	0.434	3.28E-99	DC1	CD141/CLEC9A	1
22	ENPP1	0.89	2.9	0.77	0.94	0.741	5.78E-195	DC1	CD141/CLEC9A	1
