Cell ID	Cluster IDs
CD141_P10_S73	DC1
CD141_P10_S74	DC5
CD141_P10_S75	DC1
CD141_P10_S76	DC1
CD141_P10_S77	DC1
CD141_P10_S78	DC5
CD141_P10_S79	DC1
CD141_P10_S80	DC1
CD141_P10_S81	DC5
CD141_P10_S82	DC1
CD141_P10_S83	DC1
CD141_P10_S84	DC1
CD141_P10_S85	DC1
CD141_P10_S86	DC1
CD141_P10_S87	DC5
CD141_P10_S88	DC1
CD141_P10_S89	DC1
CD141_P10_S90	DC5
CD141_P10_S91	DC1
CD141_P10_S92	DC1
CD141_P10_S93	DC1
CD141_P10_S94	DC1
CD141_P10_S95	DC1
CD141_P10_S96	DC1
CD141_P13_S49	DC1
CD141_P13_S50	DC2
CD141_P13_S51	DC1
CD141_P13_S52	DC1
CD141_P13_S53	DC1
CD141_P13_S54	DC1
CD141_P13_S55	DC1
CD141_P13_S56	DC1
CD141_P13_S57	DC1
CD141_P13_S58	DC1
CD141_P13_S59	DC1
CD141_P13_S60	DC1
CD141_P13_S61	DC1
CD141_P13_S62	DC1
CD141_P13_S63	DC1
CD141_P13_S64	DC1
CD141_P13_S65	DC1
CD141_P13_S66	DC1
CD141_P13_S67	DC1
CD141_P13_S68	DC1
CD141_P13_S69	DC1
CD141_P13_S70	DC1
CD141_P13_S71	DC1
CD141_P13_S72	DC1
CD141_P14_S73	DC1
CD141_P14_S74	DC1
CD141_P14_S75	DC1
CD141_P14_S76	DC1
CD141_P14_S77	DC1
CD141_P14_S78	DC1
CD141_P14_S79	DC5
CD141_P14_S80	DC1
CD141_P14_S81	DC5
CD141_P14_S82	DC2
CD141_P14_S83	DC1
CD141_P14_S84	DC1
CD141_P14_S85	DC1
CD141_P14_S86	DC1
CD141_P14_S87	DC1
CD141_P14_S88	DC1
CD141_P14_S89	DC1
CD141_P14_S90	DC1
CD141_P14_S91	DC1
CD141_P14_S92	DC1
CD141_P14_S93	DC1
CD141_P14_S94	DC1
CD141_P14_S95	DC1
CD141_P14_S96	DC1
CD141_P3_S10	DC3
CD141_P3_S11	DC1
CD141_P3_S12	DC1
CD141_P3_S13	DC1
CD141_P3_S14	DC1
CD141_P3_S15	DC1
CD141_P3_S16	DC2
CD141_P3_S17	DC1
CD141_P3_S18	DC1
CD141_P3_S19	DC1
CD141_P3_S1	DC1
CD141_P3_S20	DC5
CD141_P3_S21	DC1
CD141_P3_S22	DC1
CD141_P3_S23	DC1
CD141_P3_S24	DC1
CD141_P3_S2	DC1
CD141_P3_S3	DC1
CD141_P3_S4	DC1
CD141_P3_S5	DC1
CD141_P3_S6	DC1
CD141_P3_S7	DC1
CD141_P3_S8	DC1
CD141_P3_S9	DC1
CD141_P4_S25	DC5
CD141_P4_S26	DC1
CD141_P4_S27	DC1
CD141_P4_S28	DC1
CD141_P4_S29	DC1
CD141_P4_S30	DC5
CD141_P4_S31	DC5
CD141_P4_S32	DC1
CD141_P4_S33	DC1
CD141_P4_S34	DC1
CD141_P4_S35	DC1
CD141_P4_S36	DC1
CD141_P4_S37	DC1
CD141_P4_S38	DC1
CD141_P4_S39	DC1
CD141_P4_S40	DC1
CD141_P4_S41	DC1
CD141_P4_S42	DC1
CD141_P4_S43	DC1
CD141_P4_S44	DC1
CD141_P4_S45	DC1
CD141_P4_S46	DC1
CD141_P4_S47	DC2
CD141_P4_S48	DC1
CD141_P7_S10	DC1
CD141_P7_S11	DC1
CD141_P7_S12	DC5
CD141_P7_S13	DC1
CD141_P7_S14	DC1
CD141_P7_S15	DC1
CD141_P7_S16	DC1
CD141_P7_S17	DC1
CD141_P7_S18	DC1
CD141_P7_S19	DC1
CD141_P7_S1	DC1
CD141_P7_S20	DC1
CD141_P7_S21	DC1
CD141_P7_S22	DC1
CD141_P7_S23	DC1
CD141_P7_S24	DC5
CD141_P7_S2	DC1
CD141_P7_S3	DC1
CD141_P7_S4	DC1
CD141_P7_S5	DC1
CD141_P7_S6	DC1
CD141_P7_S7	DC5
CD141_P7_S8	DC1
CD141_P7_S9	DC1
CD141_P8_S25	DC1
CD141_P8_S26	DC1
CD141_P8_S27	DC1
CD141_P8_S28	DC1
CD141_P8_S30	DC1
CD141_P8_S31	DC1
CD141_P8_S32	DC1
CD141_P8_S33	DC1
CD141_P8_S34	DC1
CD141_P8_S35	DC1
CD141_P8_S36	DC1
CD141_P8_S37	DC1
CD141_P8_S38	DC1
CD141_P8_S39	DC1
CD141_P8_S40	DC1
CD141_P8_S42	DC5
CD141_P8_S43	DC1
CD141_P8_S44	DC1
CD141_P8_S45	DC1
CD141_P8_S46	DC1
CD141_P8_S47	DC1
CD141_P8_S48	DC1
CD141_P9_S49	DC1
CD141_P9_S50	DC1
CD141_P9_S51	DC5
CD141_P9_S52	DC1
CD141_P9_S53	DC1
CD141_P9_S54	DC1
CD141_P9_S55	DC1
CD141_P9_S56	DC1
CD141_P9_S57	DC1
CD141_P9_S58	DC1
CD141_P9_S59	DC1
CD141_P9_S61	DC1
CD141_P9_S62	DC1
CD141_P9_S63	DC1
CD141_P9_S64	DC1
CD141_P9_S65	DC1
CD141_P9_S67	DC1
CD141_P9_S68	DC1
CD141_P9_S69	DC1
CD141_P9_S70	DC5
CD141_P9_S71	DC1
CD141_P9_S72	DC1
CD1C_P10_S73	DC2
CD1C_P10_S74	DC2
CD1C_P10_S75	DC3
CD1C_P10_S76	DC2
CD1C_P10_S77	DC3
CD1C_P10_S78	DC2
CD1C_P10_S79	DC3
CD1C_P10_S80	DC3
CD1C_P10_S81	DC2
CD1C_P10_S82	DC3
CD1C_P10_S83	DC2
CD1C_P10_S84	DC2
CD1C_P10_S85	DC3
CD1C_P10_S86	DC3
CD1C_P10_S87	DC2
CD1C_P10_S88	DC3
CD1C_P10_S89	DC3
CD1C_P10_S90	DC2
CD1C_P10_S91	DC3
CD1C_P10_S92	DC2
CD1C_P10_S93	DC3
CD1C_P10_S94	DC2
CD1C_P10_S95	DC2
CD1C_P10_S96	DC2
CD1C_P13_S49	DC3
CD1C_P13_S50	DC2
CD1C_P13_S51	DC2
CD1C_P13_S52	DC2
CD1C_P13_S53	DC2
CD1C_P13_S54	DC2
CD1C_P13_S55	DC3
CD1C_P13_S56	DC2
CD1C_P13_S57	DC3
CD1C_P13_S58	DC2
CD1C_P13_S59	DC3
CD1C_P13_S60	DC2
CD1C_P13_S61	DC3
CD1C_P13_S62	DC3
CD1C_P13_S63	DC2
CD1C_P13_S64	DC3
CD1C_P13_S65	DC2
CD1C_P13_S66	DC2
CD1C_P13_S67	DC2
CD1C_P13_S68	DC2
CD1C_P13_S69	DC2
CD1C_P13_S70	DC2
CD1C_P13_S71	DC2
CD1C_P13_S72	DC3
CD1C_P14_S73	DC3
CD1C_P14_S74	DC3
CD1C_P14_S75	DC2
CD1C_P14_S76	DC2
CD1C_P14_S77	DC2
CD1C_P14_S78	DC2
CD1C_P14_S79	DC3
CD1C_P14_S80	DC3
CD1C_P14_S81	DC3
CD1C_P14_S82	DC3
CD1C_P14_S83	DC3
CD1C_P14_S84	DC2
CD1C_P14_S85	DC3
CD1C_P14_S86	DC3
CD1C_P14_S87	DC2
CD1C_P14_S88	DC2
CD1C_P14_S89	DC2
CD1C_P14_S90	DC3
CD1C_P14_S91	DC3
CD1C_P14_S92	DC3
CD1C_P14_S93	DC2
CD1C_P14_S94	DC3
CD1C_P14_S95	DC2
CD1C_P14_S96	DC2
CD1C_P3_S10	DC2
CD1C_P3_S11	DC2
CD1C_P3_S12	DC3
CD1C_P3_S13	DC2
CD1C_P3_S14	DC3
CD1C_P3_S15	DC2
CD1C_P3_S16	DC3
CD1C_P3_S17	DC3
CD1C_P3_S18	DC3
CD1C_P3_S19	DC3
CD1C_P3_S1	DC2
CD1C_P3_S20	DC2
CD1C_P3_S21	DC2
CD1C_P3_S22	DC3
CD1C_P3_S23	DC3
CD1C_P3_S24	DC3
CD1C_P3_S2	DC2
CD1C_P3_S3	DC3
CD1C_P3_S4	DC3
CD1C_P3_S5	DC2
CD1C_P3_S6	DC3
CD1C_P3_S7	DC2
CD1C_P3_S8	DC3
CD1C_P4_S25	DC3
CD1C_P4_S26	DC2
CD1C_P4_S27	DC2
CD1C_P4_S28	DC3
CD1C_P4_S29	DC2
CD1C_P4_S30	DC3
CD1C_P4_S31	DC2
CD1C_P4_S32	DC2
CD1C_P4_S34	DC2
CD1C_P4_S35	DC3
CD1C_P4_S36	DC2
CD1C_P4_S37	DC2
CD1C_P4_S38	DC2
CD1C_P4_S39	DC2
CD1C_P4_S40	DC3
CD1C_P4_S41	DC3
CD1C_P4_S42	DC2
CD1C_P4_S43	DC3
CD1C_P4_S44	DC3
CD1C_P4_S45	DC3
CD1C_P4_S46	DC2
CD1C_P4_S47	DC2
